가게,store
가격,price
가구,furniture
가까워지다,closer
가까이,closely
가깝다,close
가꾸다,cultivate
가끔,sometimes
가난,poor
가난하다,poor
가늘다,thin
가능,possible
가능성,Possibility
가능하다,possible
가능해지다,become possible
가다,go
가득,full
가득하다,full in here
가득히,chock
가라앉다,Sink
가려지다,covered
가령,chamberlain
가로,width
가로등,Street lamp
가로막다,block
가로수,colonnade
가루,powder
가르다,divide
가르치다,teach
가르침,teaching
가리다,blind
가리키다,point out
가만,wait
가만있다,stay still
가만히,Still
가뭄,drought
가방,bag
가볍다,light
가사,lyrics
가상,email
가수,singer
가스,gas
가슴,chest
가슴속,breast
가요,song
가운데,middle
가위,scissors
가을,autumn
가이드,guide
가입,join
가입자,subscriber
가입하다,join
가장,most
가정,home
가정교사,tutor
가져가다,Take away
가져다주다,bring
가져오다,Bring
가족,family
가죽,leather
가지,egg plant
가지다,have
가짜,FALSE
가치,value
가치관,Values
가톨릭,Catholic
가하다,inflict
각,each
각각,each
각국,each country
각기,each
각오,Resolution
각자,Each
각종,various
간,liver
간격,interval
간단하다,Simple
간단히,simply
간부,Cadre
간섭,Interference
간식,snack
간신히,barely
간장,soy sauce
간접,indirect
간접적,indirect
간판,Sign
간편하다,easy
간호,nurse
간호사,nurse
간혹,sometimes
갇히다,be confined
갈다,Sharpen
갈등,conflict
갈비,rib
갈비탕,Galbitang
갈색,brown
갈수록,As time goes by
갈아입다,change
갈아타다,transfer
갈증,thirst
감,persimmon
감각,sense
감기,cold
감다,reel in
감독,director
감동,moved
감동적,touching
감사,thanks
감사하다,Thank
감상,enjoy
감상하다,Appreciate
감소,decrease
감소되다,decrease
감소하다,Diminish
감수성,sensibility
감싸다,cover
감옥,prison
감자,potato
감정,emotion
감정적,emotional
감추다,hide
감히,dare
갑,the former
갑자기,suddenly
갑작스럽다,It's sudden
값,value
값싸다,cheap
강,river
강남,Gangnam
강당,auditorium
강도,robbery
강력하다,powerful
강력히,strongly
강렬하다,Intense
강물,river water
강변,riverside
강북,Gangbuk
강사,teacher
강수량,precipitation
강아지,puppy
강요하다,Compel
강원도,Gangwon-do
강의,lecture
강의하다,lecture
강제,compulsion
강조,emphasis
강조하다,Emphasize
강하다,strong
강화하다,Reinforce
갖가지,all sorts of things
갖다,have
갖추다,possess
같다,same
같이,together
같이하다,do together
갚다,pay back
개,dog
개개인,individual
개구리,frog
개국,opening
개나리,forsythia
개다,fold
개미,ant
개발되다,developed
개발하다,develop
개방,Opening
개방되다,open
개방하다,open
개별,Individual
개선,improvement
개선되다,improve
개선하다,improve
개성,Individuality
개월,month
개인,individual
개인적,Personal
객관적,objective
걔,He
거,thing
거기,there
거꾸로,Backwards
거대하다,It's huge
거두다,reap
거들다,assist
거듭,repeatedly
거리,distance
거부하다,reject
거실,living room
거액,mint
거울,mirror
거의,almost
거절하다,refuse
거짓,lie
거짓말,lie
거치다,pass through
거칠다,crudity
거품,bubble
걱정,worry
걱정되다,worried about
걱정스럽다,I'm worried
걱정하다,Worry
건,case
건강,health
건강하다,healthy
건너,across
건너가다,cross
건너다,to cross
건너오다,come over
건너편,other side
건넌방,across the room
건네다,carry across
건네주다,hand over
건드리다,touch
건물,building
건설,erection
건설되다,be constructed
건설하다,Build
건전하다,wholesome
건조,dry
건조하다,dry
건지다,rescue
건축,construct
걷기,walking
걷다,walk
걸다,bet
걸리다,hang
걸어가다,walk
걸어오다,walk
걸음,step
걸치다,cover
검다,black
